,fecha,nombre_completo,estado,temperatura,presion,humedad_relativa,precipitacion
0,2024-02-08 00:00:00,ITM Medellín,Habilitada,20.00000,787.15984,89,0.00000
1,2024-02-08 00:01:01,ITM Medellín,Habilitada,20.00000,787.15984,89,0.00000
2,2024-02-08 00:02:00,ITM Medellín,Habilitada,20.00000,787.09211,89,0.00000
3,2024-02-08 00:03:00,ITM Medellín,Habilitada,19.94444,787.09211,89,0.00000
4,2024-02-08 00:04:00,ITM Medellín,Habilitada,19.94444,787.15984,89,0.00000
5,2024-02-08 00:05:00,ITM Medellín,Habilitada,19.94444,787.09211,89,0.00000
6,2024-02-08 00:06:00,ITM Medellín,Habilitada,19.94444,787.05825,89,0.00000
7,2024-02-08 00:07:00,ITM Medellín,Habilitada,19.94444,787.02438,89,0.00000
8,2024-02-08 00:08:01,ITM Medellín,Habilitada,19.88889,787.09211,90,0.00000
9,2024-02-08 00:09:00,ITM Medellín,Habilitada,19.88889,787.02438,90,0.00000
10,2024-02-08 00:10:00,ITM Medellín,Habilitada,19.88889,787.05825,90,0.00000
11,2024-02-08 00:11:00,ITM Medellín,Habilitada,19.88889,787.05825,90,0.00000
12,2024-02-08 00:12:00,ITM Medellín,Habilitada,19.83333,787.02438,90,0.00000
13,2024-02-08 00:13:00,ITM Medellín,Habilitada,19.83333,787.02438,90,0.00000
14,2024-02-08 00:14:00,ITM Medellín,Habilitada,19.83333,787.02438,90,0.00000
15,2024-02-08 00:15:00,ITM Medellín,Habilitada,19.77778,787.02438,90,0.00000
16,2024-02-08 00:16:00,ITM Medellín,Habilitada,19.77778,786.99052,90,0.00000
17,2024-02-08 00:17:01,ITM Medellín,Habilitada,19.77778,786.99052,91,0.00000
18,2024-02-08 00:18:00,ITM Medellín,Habilitada,19.72222,786.99052,91,0.00000
19,2024-02-08 00:19:00,ITM Medellín,Habilitada,19.72222,787.02438,91,0.00000
20,2024-02-08 00:20:00,ITM Medellín,Habilitada,19.72222,787.05825,91,0.00000
21,2024-02-08 00:21:00,ITM Medellín,Habilitada,19.72222,787.02438,91,0.00000
22,2024-02-08 00:22:00,ITM Medellín,Habilitada,19.72222,786.99052,91,0.00000
23,2024-02-08 00:23:00,ITM Medellín,Habilitada,19.66667,786.92279,91,0.00000
24,2024-02-08 00:24:01,ITM Medellín,Habilitada,19.66667,786.92279,91,0.00000
25,2024-02-08 00:25:00,ITM Medellín,Habilitada,19.61111,786.99052,91,0.00000
26,2024-02-08 00:26:01,ITM Medellín,Habilitada,19.55556,786.99052,91,0.00000
27,2024-02-08 00:27:00,ITM Medellín,Habilitada,19.55556,786.92279,91,0.00000
28,2024-02-08 00:28:00,ITM Medellín,Habilitada,19.50000,786.99052,91,0.00000
29,2024-02-08 00:29:00,ITM Medellín,Habilitada,19.44444,786.95666,91,0.00000
30,2024-02-08 00:30:00,ITM Medellín,Habilitada,19.44444,786.99052,91,0.00000
31,2024-02-08 00:31:00,ITM Medellín,Habilitada,19.38889,786.99052,91,0.00000
